22:26:34.018 -> Humidity: 60.90 %, Temp: 18.80 Celsius
22:26:36.027 -> Humidity: 58.60 %, Temp: 19.40 Celsius
22:26:38.053 -> Humidity: 58.40 %, Temp: 19.30 Celsius
22:26:40.067 -> Humidity: 58.30 %, Temp: 19.30 Celsius
22:26:42.074 -> Humidity: 58.30 %, Temp: 19.40 Celsius
22:26:44.083 -> Humidity: 58.20 %, Temp: 19.30 Celsius
22:26:46.087 -> Humidity: 58.20 %, Temp: 19.40 Celsius
22:26:48.082 -> Humidity: 58.20 %, Temp: 19.40 Celsius
22:26:50.105 -> Humidity: 58.20 %, Temp: 19.40 Celsius
22:26:52.137 -> Humidity: 58.30 %, Temp: 19.40 Celsius
22:26:54.127 -> Humidity: 58.20 %, Temp: 19.40 Celsius
22:26:56.142 -> Humidity: 58.20 %, Temp: 19.40 Celsius
22:26:58.145 -> Humidity: 58.30 %, Temp: 19.40 Celsius
22:27:00.173 -> Humidity: 58.30 %, Temp: 19.40 Celsius
22:27:02.202 -> Humidity: 58.40 %, Temp: 19.40 Celsius
22:27:04.193 -> Humidity: 58.30 %, Temp: 19.50 Celsius
22:27:06.177 -> Humidity: 58.30 %, Temp: 19.40 Celsius
22:27:08.215 -> Humidity: 58.30 %, Temp: 19.50 Celsius
22:27:10.210 -> Humidity: 58.30 %, Temp: 19.50 Celsius
22:27:12.208 -> Humidity: 58.20 %, Temp: 19.50 Celsius
22:27:14.225 -> Humidity: 57.90 %, Temp: 19.50 Celsius
22:27:16.256 -> Humidity: 57.80 %, Temp: 19.50 Celsius
22:27:18.265 -> Humidity: 59.40 %, Temp: 19.50 Celsius
22:27:20.253 -> Humidity: 61.10 %, Temp: 19.50 Celsius
22:27:22.260 -> Humidity: 61.40 %, Temp: 19.50 Celsius
22:27:24.276 -> Humidity: 61.20 %, Temp: 19.50 Celsius
22:27:26.289 -> Humidity: 60.90 %, Temp: 19.50 Celsius
22:27:28.303 -> Humidity: 60.70 %, Temp: 19.50 Celsius
22:27:30.319 -> Humidity: 60.40 %, Temp: 19.50 Celsius
22:27:32.347 -> Humidity: 60.20 %, Temp: 19.50 Celsius
22:27:34.348 -> Humidity: 60.00 %, Temp: 19.50 Celsius
22:27:36.332 -> Humidity: 59.80 %, Temp: 19.50 Celsius
22:27:38.373 -> Humidity: 59.60 %, Temp: 19.50 Celsius
22:27:40.386 -> Humidity: 59.50 %, Temp: 19.50 Celsius
22:27:42.391 -> Humidity: 59.30 %, Temp: 19.50 Celsius
22:27:44.371 -> Humidity: 59.10 %, Temp: 19.50 Celsius
22:27:46.398 -> Humidity: 58.90 %, Temp: 19.50 Celsius
